"TIME","GEO","DECISION","CITIZEN","UNIT","Value"
"2002M01","Belgium","Total positive decisions","Total","Person",":"
"2002M01","Bulgaria","Total positive decisions","Total","Person","215"
"2002M01","Czech Republic","Total positive decisions","Total","Person","0"
"2002M01","Denmark","Total positive decisions","Total","Person",":"
"2002M01","Germany (until 1990 former territory of the FRG)","Total positive decisions","Total","Person","1,130"
"2002M01","Estonia","Total positive decisions","Total","Person","0"
"2002M01","Ireland","Total positive decisions","Total","Person",":"
"2002M01","Greece","Total positive decisions","Total","Person",":"
"2002M01","Spain","Total positive decisions","Total","Person","25"
"2002M01","France","Total positive decisions","Total","Person","735"
"2002M01","Italy","Total positive decisions","Total","Person",":"
"2002M01","Cyprus","Total positive decisions","Total","Person",":"
"2002M01","Latvia","Total positive decisions","Total","Person","0"
"2002M01","Lithuania","Total positive decisions","Total","Person","25"
"2002M01","Luxembourg","Total positive decisions","Total","Person",":"
"2002M01","Hungary","Total positive decisions","Total","Person","180"
"2002M01","Malta","Total positive decisions","Total","Person",":"
"2002M01","Netherlands","Total positive decisions","Total","Person","285"
"2002M01","Austria","Total positive decisions","Total","Person","55"
"2002M01","Poland","Total positive decisions","Total","Person","35"
"2002M01","Portugal","Total positive decisions","Total","Person","10"
"2002M01","Romania","Total positive decisions","Total","Person",":"
"2002M01","Slovenia","Total positive decisions","Total","Person","0"
"2002M01","Slovakia","Total positive decisions","Total","Person",":"
"2002M01","Finland","Total positive decisions","Total","Person","90"
"2002M01","Sweden","Total positive decisions","Total","Person","300"
"2002M01","United Kingdom","Total positive decisions","Total","Person","3,070"
"2002M01","Norway","Total positive decisions","Total","Person",":"
"2002M02","Belgium","Total positive decisions","Total","Person","155"
"2002M02","Bulgaria","Total positive decisions","Total","Person","45"
"2002M02","Czech Republic","Total positive decisions","Total","Person","0"
"2002M02","Denmark","Total positive decisions","Total","Person",":"
"2002M02","Germany (until 1990 former territory of the FRG)","Total positive decisions","Total","Person","990"
"2002M02","Estonia","Total positive decisions","Total","Person","0"
"2002M02","Ireland","Total positive decisions","Total","Person",":"
"2002M02","Greece","Total positive decisions","Total","Person",":"
"2002M02","Spain","Total positive decisions","Total","Person","55"
"2002M02","France","Total positive decisions","Total","Person","710"
"2002M02","Italy","Total positive decisions","Total","Person",":"
"2002M02","Cyprus","Total positive decisions","Total","Person",":"
"2002M02","Latvia","Total positive decisions","Total","Person","0"
"2002M02","Lithuania","Total positive decisions","Total","Person","20"
"2002M02","Luxembourg","Total positive decisions","Total","Person",":"
"2002M02","Hungary","Total positive decisions","Total","Person","115"
"2002M02","Malta","Total positive decisions","Total","Person",":"
"2002M02","Netherlands","Total positive decisions","Total","Person","330"
"2002M02","Austria","Total positive decisions","Total","Person","75"
"2002M02","Poland","Total positive decisions","Total","Person","50"
"2002M02","Portugal","Total positive decisions","Total","Person","0"
"2002M02","Romania","Total positive decisions","Total","Person",":"
"2002M02","Slovenia","Total positive decisions","Total","Person","0"
"2002M02","Slovakia","Total positive decisions","Total","Person",":"
"2002M02","Finland","Total positive decisions","Total","Person","60"
"2002M02","Sweden","Total positive decisions","Total","Person","360"
"2002M02","United Kingdom","Total positive decisions","Total","Person","2,440"
"2002M02","Norway","Total positive decisions","Total","Person",":"
"2002M03","Belgium","Total positive decisions","Total","Person",":"
"2002M03","Bulgaria","Total positive decisions","Total","Person","65"
"2002M03","Czech Republic","Total positive decisions","Total","Person","0"
"2002M03","Denmark","Total positive decisions","Total","Person",":"
"2002M03","Germany (until 1990 former territory of the FRG)","Total positive decisions","Total","Person","815"
"2002M03","Estonia","Total positive decisions","Total","Person","0"
"2002M03","Ireland","Total positive decisions","Total","Person",":"
"2002M03","Greece","Total positive decisions","Total","Person",":"
"2002M03","Spain","Total positive decisions","Total","Person","20"
"2002M03","France","Total positive decisions","Total","Person","660"
"2002M03","Italy","Total positive decisions","Total","Person",":"
"2002M03","Cyprus","Total positive decisions","Total","Person",":"
"2002M03","Latvia","Total positive decisions","Total","Person","0"
"2002M03","Lithuania","Total positive decisions","Total","Person","25"
"2002M03","Luxembourg","Total positive decisions","Total","Person",":"
"2002M03","Hungary","Total positive decisions","Total","Person","125"
"2002M03","Malta","Total positive decisions","Total","Person",":"
"2002M03","Netherlands","Total positive decisions","Total","Person","510"
"2002M03","Austria","Total positive decisions","Total","Person","130"
"2002M03","Poland","Total positive decisions","Total","Person","30"
"2002M03","Portugal","Total positive decisions","Total","Person","0"
"2002M03","Romania","Total positive decisions","Total","Person",":"
"2002M03","Slovenia","Total positive decisions","Total","Person","0"
"2002M03","Slovakia","Total positive decisions","Total","Person",":"
"2002M03","Finland","Total positive decisions","Total","Person","30"
"2002M03","Sweden","Total positive decisions","Total","Person","530"
"2002M03","United Kingdom","Total positive decisions","Total","Person","2,630"
"2002M03","Norway","Total positive decisions","Total","Person",":"
"2002M04","Belgium","Total positive decisions","Total","Person","205"
"2002M04","Bulgaria","Total positive decisions","Total","Person","5"
"2002M04","Czech Republic","Total positive decisions","Total","Person","10"
"2002M04","Denmark","Total positive decisions","Total","Person",":"
"2002M04","Germany (until 1990 former territory of the FRG)","Total positive decisions","Total","Person","820"
"2002M04","Estonia","Total positive decisions","Total","Person","0"
"2002M04","Ireland","Total positive decisions","Total","Person",":"
"2002M04","Greece","Total positive decisions","Total","Person",":"
"2002M04","Spain","Total positive decisions","Total","Person","25"
"2002M04","France","Total positive decisions","Total","Person","575"
"2002M04","Italy","Total positive decisions","Total","Person",":"
"2002M04","Cyprus","Total positive decisions","Total","Person",":"
"2002M04","Latvia","Total positive decisions","Total","Person","0"
"2002M04","Lithuania","Total positive decisions","Total","Person","25"
"2002M04","Luxembourg","Total positive decisions","Total","Person",":"
"2002M04","Hungary","Total positive decisions","Total","Person","90"
"2002M04","Malta","Total positive decisions","Total","Person",":"
"2002M04","Netherlands","Total positive decisions","Total","Person","345"
"2002M04","Austria","Total positive decisions","Total","Person","125"
"2002M04","Poland","Total positive decisions","Total","Person","20"
"2002M04","Portugal","Total positive decisions","Total","Person","0"
"2002M04","Romania","Total positive decisions","Total","Person",":"
"2002M04","Slovenia","Total positive decisions","Total","Person","0"
"2002M04","Slovakia","Total positive decisions","Total","Person",":"
"2002M04","Finland","Total positive decisions","Total","Person","55"
"2002M04","Sweden","Total positive decisions","Total","Person","535"
"2002M04","United Kingdom","Total positive decisions","Total","Person","2,685"
"2002M04","Norway","Total positive decisions","Total","Person",":"
"2002M05","Belgium","Total positive decisions","Total","Person",":"
"2002M05","Bulgaria","Total positive decisions","Total","Person","85"
"2002M05","Czech Republic","Total positive decisions","Total","Person","20"
"2002M05","Denmark","Total positive decisions","Total","Person",":"
"2002M05","Germany (until 1990 former territory of the FRG)","Total positive decisions","Total","Person","670"
"2002M05","Estonia","Total positive decisions","Total","Person","0"
"2002M05","Ireland","Total positive decisions","Total","Person",":"
"2002M05","Greece","Total positive decisions","Total","Person",":"
"2002M05","Spain","Total positive decisions","Total","Person","10"
"2002M05","France","Total positive decisions","Total","Person","415"
"2002M05","Italy","Total positive decisions","Total","Person",":"
"2002M05","Cyprus","Total positive decisions","Total","Person",":"
"2002M05","Latvia","Total positive decisions","Total","Person","0"
"2002M05","Lithuania","Total positive decisions","Total","Person","30"
"2002M05","Luxembourg","Total positive decisions","Total","Person",":"
"2002M05","Hungary","Total positive decisions","Total","Person","155"
"2002M05","Malta","Total positive decisions","Total","Person",":"
"2002M05","Netherlands","Total positive decisions","Total","Person","320"
"2002M05","Austria","Total positive decisions","Total","Person","65"
"2002M05","Poland","Total positive decisions","Total","Person","25"
"2002M05","Portugal","Total positive decisions","Total","Person","0"
"2002M05","Romania","Total positive decisions","Total","Person",":"
"2002M05","Slovenia","Total positive decisions","Total","Person","0"
"2002M05","Slovakia","Total positive decisions","Total","Person",":"
"2002M05","Finland","Total positive decisions","Total","Person","25"
"2002M05","Sweden","Total positive decisions","Total","Person","440"
"2002M05","United Kingdom","Total positive decisions","Total","Person","2,475"
"2002M05","Norway","Total positive decisions","Total","Person",":"
"2002M06","Belgium","Total positive decisions","Total","Person",":"
"2002M06","Bulgaria","Total positive decisions","Total","Person","45"
"2002M06","Czech Republic","Total positive decisions","Total","Person","15"
"2002M06","Denmark","Total positive decisions","Total","Person",":"
"2002M06","Germany (until 1990 former territory of the FRG)","Total positive decisions","Total","Person","875"
"2002M06","Estonia","Total positive decisions","Total","Person","0"
"2002M06","Ireland","Total positive decisions","Total","Person",":"
"2002M06","Greece","Total positive decisions","Total","Person","5"
"2002M06","Spain","Total positive decisions","Total","Person","15"
"2002M06","France","Total positive decisions","Total","Person","550"
"2002M06","Italy","Total positive decisions","Total","Person",":"
"2002M06","Cyprus","Total positive decisions","Total","Person",":"
"2002M06","Latvia","Total positive decisions","Total","Person","0"
"2002M06","Lithuania","Total positive decisions","Total","Person","15"
"2002M06","Luxembourg","Total positive decisions","Total","Person",":"
"2002M06","Hungary","Total positive decisions","Total","Person","105"
"2002M06","Malta","Total positive decisions","Total","Person",":"
"2002M06","Netherlands","Total positive decisions","Total","Person","260"
"2002M06","Austria","Total positive decisions","Total","Person","85"
"2002M06","Poland","Total positive decisions","Total","Person","20"
"2002M06","Portugal","Total positive decisions","Total","Person","0"
"2002M06","Romania","Total positive decisions","Total","Person",":"
"2002M06","Slovenia","Total positive decisions","Total","Person","0"
"2002M06","Slovakia","Total positive decisions","Total","Person",":"
"2002M06","Finland","Total positive decisions","Total","Person","20"
"2002M06","Sweden","Total positive decisions","Total","Person","540"
"2002M06","United Kingdom","Total positive decisions","Total","Person","1,905"
"2002M06","Norway","Total positive decisions","Total","Person",":"
"2002M07","Belgium","Total positive decisions","Total","Person",":"
"2002M07","Bulgaria","Total positive decisions","Total","Person","65"
"2002M07","Czech Republic","Total positive decisions","Total","Person","5"
"2002M07","Denmark","Total positive decisions","Total","Person",":"
"2002M07","Germany (until 1990 former territory of the FRG)","Total positive decisions","Total","Person","425"
"2002M07","Estonia","Total positive decisions","Total","Person","0"
"2002M07","Ireland","Total positive decisions","Total","Person",":"
"2002M07","Greece","Total positive decisions","Total","Person","5"
"2002M07","Spain","Total positive decisions","Total","Person","15"
"2002M07","France","Total positive decisions","Total","Person","540"
"2002M07","Italy","Total positive decisions","Total","Person",":"
"2002M07","Cyprus","Total positive decisions","Total","Person",":"
"2002M07","Latvia","Total positive decisions","Total","Person","0"
"2002M07","Lithuania","Total positive decisions","Total","Person","30"
"2002M07","Luxembourg","Total positive decisions","Total","Person",":"
"2002M07","Hungary","Total positive decisions","Total","Person","95"
"2002M07","Malta","Total positive decisions","Total","Person","35"
"2002M07","Netherlands","Total positive decisions","Total","Person","365"
"2002M07","Austria","Total positive decisions","Total","Person","95"
"2002M07","Poland","Total positive decisions","Total","Person","10"
"2002M07","Portugal","Total positive decisions","Total","Person","5"
"2002M07","Romania","Total positive decisions","Total","Person",":"
"2002M07","Slovenia","Total positive decisions","Total","Person","0"
"2002M07","Slovakia","Total positive decisions","Total","Person",":"
"2002M07","Finland","Total positive decisions","Total","Person","60"
"2002M07","Sweden","Total positive decisions","Total","Person","430"
"2002M07","United Kingdom","Total positive decisions","Total","Person","2,505"
"2002M07","Norway","Total positive decisions","Total","Person",":"
"2002M08","Belgium","Total positive decisions","Total","Person",":"
"2002M08","Bulgaria","Total positive decisions","Total","Person","75"
"2002M08","Czech Republic","Total positive decisions","Total","Person","5"
"2002M08","Denmark","Total positive decisions","Total","Person",":"
"2002M08","Germany (until 1990 former territory of the FRG)","Total positive decisions","Total","Person","410"
"2002M08","Estonia","Total positive decisions","Total","Person","0"
"2002M08","Ireland","Total positive decisions","Total","Person",":"
"2002M08","Greece","Total positive decisions","Total","Person",":"
"2002M08","Spain","Total positive decisions","Total","Person","0"
"2002M08","France","Total positive decisions","Total","Person","380"
"2002M08","Italy","Total positive decisions","Total","Person",":"
"2002M08","Cyprus","Total positive decisions","Total","Person",":"
"2002M08","Latvia","Total positive decisions","Total","Person","0"
"2002M08","Lithuania","Total positive decisions","Total","Person","25"
"2002M08","Luxembourg","Total positive decisions","Total","Person",":"
"2002M08","Hungary","Total positive decisions","Total","Person","140"
"2002M08","Malta","Total positive decisions","Total","Person","0"
"2002M08","Netherlands","Total positive decisions","Total","Person","290"
"2002M08","Austria","Total positive decisions","Total","Person","70"
"2002M08","Poland","Total positive decisions","Total","Person","10"
"2002M08","Portugal","Total positive decisions","Total","Person","0"
"2002M08","Romania","Total positive decisions","Total","Person",":"
"2002M08","Slovenia","Total positive decisions","Total","Person","0"
"2002M08","Slovakia","Total positive decisions","Total","Person",":"
"2002M08","Finland","Total positive decisions","Total","Person","45"
"2002M08","Sweden","Total positive decisions","Total","Person","345"
"2002M08","United Kingdom","Total positive decisions","Total","Person","1,880"
"2002M08","Norway","Total positive decisions","Total","Person",":"
"2002M09","Belgium","Total positive decisions","Total","Person",":"
"2002M09","Bulgaria","Total positive decisions","Total","Person","45"
"2002M09","Czech Republic","Total positive decisions","Total","Person","10"
"2002M09","Denmark","Total positive decisions","Total","Person",":"
"2002M09","Germany (until 1990 former territory of the FRG)","Total positive decisions","Total","Person","495"
"2002M09","Estonia","Total positive decisions","Total","Person","0"
"2002M09","Ireland","Total positive decisions","Total","Person",":"
"2002M09","Greece","Total positive decisions","Total","Person","10"
"2002M09","Spain","Total positive decisions","Total","Person","15"
"2002M09","France","Total positive decisions","Total","Person","395"
"2002M09","Italy","Total positive decisions","Total","Person",":"
"2002M09","Cyprus","Total positive decisions","Total","Person",":"
"2002M09","Latvia","Total positive decisions","Total","Person","0"
"2002M09","Lithuania","Total positive decisions","Total","Person","20"
"2002M09","Luxembourg","Total positive decisions","Total","Person",":"
"2002M09","Hungary","Total positive decisions","Total","Person","85"
"2002M09","Malta","Total positive decisions","Total","Person","10"
"2002M09","Netherlands","Total positive decisions","Total","Person","255"
"2002M09","Austria","Total positive decisions","Total","Person","85"
"2002M09","Poland","Total positive decisions","Total","Person","5"
"2002M09","Portugal","Total positive decisions","Total","Person","0"
"2002M09","Romania","Total positive decisions","Total","Person",":"
"2002M09","Slovenia","Total positive decisions","Total","Person","0"
"2002M09","Slovakia","Total positive decisions","Total","Person",":"
"2002M09","Finland","Total positive decisions","Total","Person","65"
"2002M09","Sweden","Total positive decisions","Total","Person","445"
"2002M09","United Kingdom","Total positive decisions","Total","Person","2,235"
"2002M09","Norway","Total positive decisions","Total","Person",":"
"2002M10","Belgium","Total positive decisions","Total","Person",":"
"2002M10","Bulgaria","Total positive decisions","Total","Person","5"
"2002M10","Czech Republic","Total positive decisions","Total","Person","10"
"2002M10","Denmark","Total positive decisions","Total","Person",":"
"2002M10","Germany (until 1990 former territory of the FRG)","Total positive decisions","Total","Person","560"
"2002M10","Estonia","Total positive decisions","Total","Person","0"
"2002M10","Ireland","Total positive decisions","Total","Person",":"
"2002M10","Greece","Total positive decisions","Total","Person","5"
"2002M10","Spain","Total positive decisions","Total","Person","35"
"2002M10","France","Total positive decisions","Total","Person","455"
"2002M10","Italy","Total positive decisions","Total","Person",":"
"2002M10","Cyprus","Total positive decisions","Total","Person",":"
"2002M10","Latvia","Total positive decisions","Total","Person","0"
"2002M10","Lithuania","Total positive decisions","Total","Person","30"
"2002M10","Luxembourg","Total positive decisions","Total","Person",":"
"2002M10","Hungary","Total positive decisions","Total","Person","190"
"2002M10","Malta","Total positive decisions","Total","Person","0"
"2002M10","Netherlands","Total positive decisions","Total","Person","240"
"2002M10","Austria","Total positive decisions","Total","Person","100"
"2002M10","Poland","Total positive decisions","Total","Person","25"
"2002M10","Portugal","Total positive decisions","Total","Person","5"
"2002M10","Romania","Total positive decisions","Total","Person",":"
"2002M10","Slovenia","Total positive decisions","Total","Person","0"
"2002M10","Slovakia","Total positive decisions","Total","Person",":"
"2002M10","Finland","Total positive decisions","Total","Person","50"
"2002M10","Sweden","Total positive decisions","Total","Person","465"
"2002M10","United Kingdom","Total positive decisions","Total","Person","2,260"
"2002M10","Norway","Total positive decisions","Total","Person",":"
"2002M11","Belgium","Total positive decisions","Total","Person",":"
"2002M11","Bulgaria","Total positive decisions","Total","Person","15"
"2002M11","Czech Republic","Total positive decisions","Total","Person","25"
"2002M11","Denmark","Total positive decisions","Total","Person",":"
"2002M11","Germany (until 1990 former territory of the FRG)","Total positive decisions","Total","Person","550"
"2002M11","Estonia","Total positive decisions","Total","Person","0"
"2002M11","Ireland","Total positive decisions","Total","Person",":"
"2002M11","Greece","Total positive decisions","Total","Person","15"
"2002M11","Spain","Total positive decisions","Total","Person","20"
"2002M11","France","Total positive decisions","Total","Person","405"
"2002M11","Italy","Total positive decisions","Total","Person",":"
"2002M11","Cyprus","Total positive decisions","Total","Person",":"
"2002M11","Latvia","Total positive decisions","Total","Person","0"
"2002M11","Lithuania","Total positive decisions","Total","Person","20"
"2002M11","Luxembourg","Total positive decisions","Total","Person",":"
"2002M11","Hungary","Total positive decisions","Total","Person","170"
"2002M11","Malta","Total positive decisions","Total","Person","10"
"2002M11","Netherlands","Total positive decisions","Total","Person","200"
"2002M11","Austria","Total positive decisions","Total","Person","85"
"2002M11","Poland","Total positive decisions","Total","Person","20"
"2002M11","Portugal","Total positive decisions","Total","Person","5"
"2002M11","Romania","Total positive decisions","Total","Person",":"
"2002M11","Slovenia","Total positive decisions","Total","Person","0"
"2002M11","Slovakia","Total positive decisions","Total","Person",":"
"2002M11","Finland","Total positive decisions","Total","Person","20"
"2002M11","Sweden","Total positive decisions","Total","Person","555"
"2002M11","United Kingdom","Total positive decisions","Total","Person","2,150"
"2002M11","Norway","Total positive decisions","Total","Person",":"
"2002M12","Belgium","Total positive decisions","Total","Person",":"
"2002M12","Bulgaria","Total positive decisions","Total","Person","60"
"2002M12","Czech Republic","Total positive decisions","Total","Person","20"
"2002M12","Denmark","Total positive decisions","Total","Person",":"
"2002M12","Germany (until 1990 former territory of the FRG)","Total positive decisions","Total","Person","410"
"2002M12","Estonia","Total positive decisions","Total","Person","0"
"2002M12","Ireland","Total positive decisions","Total","Person",":"
"2002M12","Greece","Total positive decisions","Total","Person","15"
"2002M12","Spain","Total positive decisions","Total","Person","0"
"2002M12","France","Total positive decisions","Total","Person","415"
"2002M12","Italy","Total positive decisions","Total","Person",":"
"2002M12","Cyprus","Total positive decisions","Total","Person",":"
"2002M12","Latvia","Total positive decisions","Total","Person","0"
"2002M12","Lithuania","Total positive decisions","Total","Person","20"
"2002M12","Luxembourg","Total positive decisions","Total","Person",":"
"2002M12","Hungary","Total positive decisions","Total","Person","130"
"2002M12","Malta","Total positive decisions","Total","Person","25"
"2002M12","Netherlands","Total positive decisions","Total","Person","155"
"2002M12","Austria","Total positive decisions","Total","Person","105"
"2002M12","Poland","Total positive decisions","Total","Person","5"
"2002M12","Portugal","Total positive decisions","Total","Person","0"
"2002M12","Romania","Total positive decisions","Total","Person",":"
"2002M12","Slovenia","Total positive decisions","Total","Person","0"
"2002M12","Slovakia","Total positive decisions","Total","Person",":"
"2002M12","Finland","Total positive decisions","Total","Person","75"
"2002M12","Sweden","Total positive decisions","Total","Person","550"
"2002M12","United Kingdom","Total positive decisions","Total","Person","1,825"
"2002M12","Norway","Total positive decisions","Total","Person",":"
"2003M01","Belgium","Total positive decisions","Total","Person",":"
"2003M01","Bulgaria","Total positive decisions","Total","Person","25"
