"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value"
"2008Q1","Belgium","Total","Total","Total","Total positive decisions","Person","715"
"2008Q1","Bulgaria","Total","Total","Total","Total positive decisions","Person","65"
"2008Q1","Czech Republic","Total","Total","Total","Total positive decisions","Person","45"
"2008Q1","Denmark","Total","Total","Total","Total positive decisions","Person","180"
"2008Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","2,095"
"2008Q1","Estonia","Total","Total","Total","Total positive decisions","Person","5"
"2008Q1","Ireland","Total","Total","Total","Total positive decisions","Person","115"
"2008Q1","Greece","Total","Total","Total","Total positive decisions","Person","0"
"2008Q1","Spain","Total","Total","Total","Total positive decisions","Person","110"
"2008Q1","France","Total","Total","Total","Total positive decisions","Person","1,395"
"2008Q1","Italy","Total","Total","Total","Total positive decisions","Person","1,275"
"2008Q1","Cyprus","Total","Total","Total","Total positive decisions","Person","0"
"2008Q1","Latvia","Total","Total","Total","Total positive decisions","Person","0"
"2008Q1","Lithuania","Total","Total","Total","Total positive decisions","Person","15"
"2008Q1","Luxembourg","Total","Total","Total","Total positive decisions","Person","25"
"2008Q1","Hungary","Total","Total","Total","Total positive decisions","Person","70"
"2008Q1","Malta","Total","Total","Total","Total positive decisions","Person","565"
"2008Q1","Netherlands","Total","Total","Total","Total positive decisions","Person","1,405"
"2008Q1","Austria","Total","Total","Total","Total positive decisions","Person","965"
"2008Q1","Poland","Total","Total","Total","Total positive decisions","Person","490"
"2008Q1","Portugal","Total","Total","Total","Total positive decisions","Person","30"
"2008Q1","Romania","Total","Total","Total","Total positive decisions","Person","45"
"2008Q1","Slovenia","Total","Total","Total","Total positive decisions","Person","0"
"2008Q1","Slovakia","Total","Total","Total","Total positive decisions","Person","20"
"2008Q1","Finland","Total","Total","Total","Total positive decisions","Person","155"
"2008Q1","Sweden","Total","Total","Total","Total positive decisions","Person","1,540"
"2008Q1","United Kingdom","Total","Total","Total","Total positive decisions","Person","1,675"
"2008Q1","Norway","Total","Total","Total","Total positive decisions","Person","580"
"2008Q2","Belgium","Total","Total","Total","Total positive decisions","Person","1,060"
"2008Q2","Bulgaria","Total","Total","Total","Total positive decisions","Person","105"
"2008Q2","Czech Republic","Total","Total","Total","Total positive decisions","Person","70"
"2008Q2","Denmark","Total","Total","Total","Total positive decisions","Person","225"
"2008Q2","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","1,690"
"2008Q2","Estonia","Total","Total","Total","Total positive decisions","Person","0"
"2008Q2","Ireland","Total","Total","Total","Total positive decisions","Person","75"
"2008Q2","Greece","Total","Total","Total","Total positive decisions","Person","15"
"2008Q2","Spain","Total","Total","Total","Total positive decisions","Person","20"
"2008Q2","France","Total","Total","Total","Total positive decisions","Person","1,305"
"2008Q2","Italy","Total","Total","Total","Total positive decisions","Person","1,850"
"2008Q2","Cyprus","Total","Total","Total","Total positive decisions","Person","0"
"2008Q2","Latvia","Total","Total","Total","Total positive decisions","Person","0"
"2008Q2","Lithuania","Total","Total","Total","Total positive decisions","Person","15"
"2008Q2","Luxembourg","Total","Total","Total","Total positive decisions","Person","95"
"2008Q2","Hungary","Total","Total","Total","Total positive decisions","Person","125"
"2008Q2","Malta","Total","Total","Total","Total positive decisions","Person","130"
"2008Q2","Netherlands","Total","Total","Total","Total positive decisions","Person","1,340"
"2008Q2","Austria","Total","Total","Total","Total positive decisions","Person","895"
"2008Q2","Poland","Total","Total","Total","Total positive decisions","Person","1,050"
"2008Q2","Portugal","Total","Total","Total","Total positive decisions","Person","15"
"2008Q2","Romania","Total","Total","Total","Total positive decisions","Person","15"
"2008Q2","Slovenia","Total","Total","Total","Total positive decisions","Person","0"
"2008Q2","Slovakia","Total","Total","Total","Total positive decisions","Person","10"
"2008Q2","Finland","Total","Total","Total","Total positive decisions","Person","190"
"2008Q2","Sweden","Total","Total","Total","Total positive decisions","Person","2,085"
"2008Q2","United Kingdom","Total","Total","Total","Total positive decisions","Person","1,885"
"2008Q2","Norway","Total","Total","Total","Total positive decisions","Person","635"
"2008Q3","Belgium","Total","Total","Total","Total positive decisions","Person","860"
