"TIME","GEO","DECISION","CITIZEN","UNIT","Value"
"2002M01","Belgium","Geneva Convention status","Total","Person",":"
"2002M01","Bulgaria","Geneva Convention status","Total","Person","20"
"2002M01","Czech Republic","Geneva Convention status","Total","Person","0"
"2002M01","Denmark","Geneva Convention status","Total","Person",":"
"2002M01","Germany (until 1990 former territory of the FRG)","Geneva Convention status","Total","Person","990"
"2002M01","Estonia","Geneva Convention status","Total","Person","0"
"2002M01","Ireland","Geneva Convention status","Total","Person",":"
"2002M01","Greece","Geneva Convention status","Total","Person",":"
"2002M01","Spain","Geneva Convention status","Total","Person","20"
"2002M01","France","Geneva Convention status","Total","Person","735"
"2002M01","Italy","Geneva Convention status","Total","Person",":"
"2002M01","Cyprus","Geneva Convention status","Total","Person",":"
"2002M01","Latvia","Geneva Convention status","Total","Person","0"
"2002M01","Lithuania","Geneva Convention status","Total","Person","0"
"2002M01","Luxembourg","Geneva Convention status","Total","Person",":"
"2002M01","Hungary","Geneva Convention status","Total","Person","5"
"2002M01","Malta","Geneva Convention status","Total","Person",":"
"2002M01","Netherlands","Geneva Convention status","Total","Person","10"
"2002M01","Austria","Geneva Convention status","Total","Person","55"
"2002M01","Poland","Geneva Convention status","Total","Person","35"
"2002M01","Portugal","Geneva Convention status","Total","Person","0"
"2002M01","Romania","Geneva Convention status","Total","Person",":"
"2002M01","Slovenia","Geneva Convention status","Total","Person","0"
"2002M01","Slovakia","Geneva Convention status","Total","Person",":"
"2002M01","Finland","Geneva Convention status","Total","Person","5"
"2002M01","Sweden","Geneva Convention status","Total","Person","5"
"2002M01","United Kingdom","Geneva Convention status","Total","Person","810"
"2002M01","Norway","Geneva Convention status","Total","Person",":"
"2002M02","Belgium","Geneva Convention status","Total","Person","115"
"2002M02","Bulgaria","Geneva Convention status","Total","Person","10"
"2002M02","Czech Republic","Geneva Convention status","Total","Person","0"
"2002M02","Denmark","Geneva Convention status","Total","Person",":"
"2002M02","Germany (until 1990 former territory of the FRG)","Geneva Convention status","Total","Person","870"
"2002M02","Estonia","Geneva Convention status","Total","Person","0"
"2002M02","Ireland","Geneva Convention status","Total","Person",":"
"2002M02","Greece","Geneva Convention status","Total","Person",":"
"2002M02","Spain","Geneva Convention status","Total","Person","35"
"2002M02","France","Geneva Convention status","Total","Person","710"
"2002M02","Italy","Geneva Convention status","Total","Person",":"
"2002M02","Cyprus","Geneva Convention status","Total","Person",":"
"2002M02","Latvia","Geneva Convention status","Total","Person","0"
"2002M02","Lithuania","Geneva Convention status","Total","Person","0"
"2002M02","Luxembourg","Geneva Convention status","Total","Person",":"
"2002M02","Hungary","Geneva Convention status","Total","Person","10"
"2002M02","Malta","Geneva Convention status","Total","Person",":"
"2002M02","Netherlands","Geneva Convention status","Total","Person","25"
"2002M02","Austria","Geneva Convention status","Total","Person","75"
"2002M02","Poland","Geneva Convention status","Total","Person","50"
"2002M02","Portugal","Geneva Convention status","Total","Person","0"
"2002M02","Romania","Geneva Convention status","Total","Person",":"
"2002M02","Slovenia","Geneva Convention status","Total","Person","0"
"2002M02","Slovakia","Geneva Convention status","Total","Person",":"
"2002M02","Finland","Geneva Convention status","Total","Person","0"
"2002M02","Sweden","Geneva Convention status","Total","Person","20"
"2002M02","United Kingdom","Geneva Convention status","Total","Person","600"
"2002M02","Norway","Geneva Convention status","Total","Person",":"
"2002M03","Belgium","Geneva Convention status","Total","Person",":"
"2002M03","Bulgaria","Geneva Convention status","Total","Person","5"
"2002M03","Czech Republic","Geneva Convention status","Total","Person","0"
"2002M03","Denmark","Geneva Convention status","Total","Person",":"
