"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value"
"2008Q1","Belgium","Total","Total","Total","Geneva Convention status","Person","630"
"2008Q1","Bulgaria","Total","Total","Total","Geneva Convention status","Person","5"
"2008Q1","Czech Republic","Total","Total","Total","Geneva Convention status","Person","30"
"2008Q1","Denmark","Total","Total","Total","Geneva Convention status","Person","45"
"2008Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","1,975"
"2008Q1","Estonia","Total","Total","Total","Geneva Convention status","Person","5"
"2008Q1","Ireland","Total","Total","Total","Geneva Convention status","Person","115"
"2008Q1","Greece","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q1","Spain","Total","Total","Total","Geneva Convention status","Person","60"
"2008Q1","France","Total","Total","Total","Geneva Convention status","Person","1,325"
"2008Q1","Italy","Total","Total","Total","Geneva Convention status","Person","305"
"2008Q1","Cyprus","Total","Total","Total","Geneva Convention status","Person",":"
"2008Q1","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q1","Lithuania","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q1","Luxembourg","Total","Total","Total","Geneva Convention status","Person","20"
"2008Q1","Hungary","Total","Total","Total","Geneva Convention status","Person","20"
"2008Q1","Malta","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q1","Netherlands","Total","Total","Total","Geneva Convention status","Person","170"
"2008Q1","Austria","Total","Total","Total","Geneva Convention status","Person","635"
"2008Q1","Poland","Total","Total","Total","Geneva Convention status","Person","25"
"2008Q1","Portugal","Total","Total","Total","Geneva Convention status","Person","5"
"2008Q1","Romania","Total","Total","Total","Geneva Convention status","Person","45"
"2008Q1","Slovenia","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q1","Slovakia","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q1","Finland","Total","Total","Total","Geneva Convention status","Person","15"
"2008Q1","Sweden","Total","Total","Total","Geneva Convention status","Person","235"
"2008Q1","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,160"
"2008Q1","Norway","Total","Total","Total","Geneva Convention status","Person","240"
