"TIME","GEO","DECISION","CITIZEN","UNIT","Value"
"2002M01","Belgium","Rejected","Total","Person",":"
"2002M01","Bulgaria","Rejected","Total","Person","20"
"2002M01","Czech Republic","Rejected","Total","Person","265"
"2002M01","Denmark","Rejected","Total","Person",":"
"2002M01","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","6,920"
"2002M01","Estonia","Rejected","Total","Person","0"
"2002M01","Ireland","Rejected","Total","Person",":"
"2002M01","Greece","Rejected","Total","Person",":"
"2002M01","Spain","Rejected","Total","Person","940"
"2002M01","France","Rejected","Total","Person","3,960"
"2002M01","Italy","Rejected","Total","Person",":"
"2002M01","Cyprus","Rejected","Total","Person",":"
"2002M01","Latvia","Rejected","Total","Person","0"
"2002M01","Lithuania","Rejected","Total","Person","0"
"2002M01","Luxembourg","Rejected","Total","Person",":"
"2002M01","Hungary","Rejected","Total","Person","375"
"2002M01","Malta","Rejected","Total","Person",":"
"2002M01","Netherlands","Rejected","Total","Person","2,395"
"2002M01","Austria","Rejected","Total","Person","255"
"2002M01","Poland","Rejected","Total","Person","485"
"2002M01","Portugal","Rejected","Total","Person","25"
"2002M01","Romania","Rejected","Total","Person",":"
"2002M01","Slovenia","Rejected","Total","Person","20"
"2002M01","Slovakia","Rejected","Total","Person",":"
"2002M01","Finland","Rejected","Total","Person","100"
"2002M01","Sweden","Rejected","Total","Person","1,195"
"2002M01","United Kingdom","Rejected","Total","Person","5,615"
"2002M01","Norway","Rejected","Total","Person",":"
"2002M02","Belgium","Rejected","Total","Person","2,285"
"2002M02","Bulgaria","Rejected","Total","Person","15"
"2002M02","Czech Republic","Rejected","Total","Person","625"
"2002M02","Denmark","Rejected","Total","Person",":"
"2002M02","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","7,150"
"2002M02","Estonia","Rejected","Total","Person","0"
"2002M02","Ireland","Rejected","Total","Person",":"
"2002M02","Greece","Rejected","Total","Person",":"
"2002M02","Spain","Rejected","Total","Person","615"
"2002M02","France","Rejected","Total","Person","3,440"
"2002M02","Italy","Rejected","Total","Person",":"
"2002M02","Cyprus","Rejected","Total","Person",":"
"2002M02","Latvia","Rejected","Total","Person","0"
"2002M02","Lithuania","Rejected","Total","Person","5"
"2002M02","Luxembourg","Rejected","Total","Person",":"
"2002M02","Hungary","Rejected","Total","Person","245"
"2002M02","Malta","Rejected","Total","Person",":"
"2002M02","Netherlands","Rejected","Total","Person","1,820"
"2002M02","Austria","Rejected","Total","Person","305"
"2002M02","Poland","Rejected","Total","Person","315"
"2002M02","Portugal","Rejected","Total","Person","10"
"2002M02","Romania","Rejected","Total","Person",":"
"2002M02","Slovenia","Rejected","Total","Person","15"
"2002M02","Slovakia","Rejected","Total","Person",":"
"2002M02","Finland","Rejected","Total","Person","110"
"2002M02","Sweden","Rejected","Total","Person","1,050"
"2002M02","United Kingdom","Rejected","Total","Person","4,690"
"2002M02","Norway","Rejected","Total","Person",":"
"2002M03","Belgium","Rejected","Total","Person",":"
"2002M03","Bulgaria","Rejected","Total","Person","40"
"2002M03","Czech Republic","Rejected","Total","Person","405"
"2002M03","Denmark","Rejected","Total","Person",":"
"2002M03","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","6,870"
"2002M03","Estonia","Rejected","Total","Person","0"
"2002M03","Ireland","Rejected","Total","Person",":"
"2002M03","Greece","Rejected","Total","Person",":"
"2002M03","Spain","Rejected","Total","Person","680"
"2002M03","France","Rejected","Total","Person","3,895"
"2002M03","Italy","Rejected","Total","Person",":"
"2002M03","Cyprus","Rejected","Total","Person",":"
"2002M03","Latvia","Rejected","Total","Person","0"
"2002M03","Lithuania","Rejected","Total","Person","0"
"2002M03","Luxembourg","Rejected","Total","Person",":"
"2002M03","Hungary","Rejected","Total","Person","190"
"2002M03","Malta","Rejected","Total","Person",":"
"2002M03","Netherlands","Rejected","Total","Person","2,620"
"2002M03","Austria","Rejected","Total","Person","340"
"2002M03","Poland","Rejected","Total","Person","435"
"2002M03","Portugal","Rejected","Total","Person","10"
"2002M03","Romania","Rejected","Total","Person",":"
"2002M03","Slovenia","Rejected","Total","Person","5"
"2002M03","Slovakia","Rejected","Total","Person",":"
"2002M03","Finland","Rejected","Total","Person","80"
"2002M03","Sweden","Rejected","Total","Person","1,265"
"2002M03","United Kingdom","Rejected","Total","Person","4,655"
"2002M03","Norway","Rejected","Total","Person",":"
"2002M04","Belgium","Rejected","Total","Person","2,380"
"2002M04","Bulgaria","Rejected","Total","Person","5"
"2002M04","Czech Republic","Rejected","Total","Person","340"
"2002M04","Denmark","Rejected","Total","Person",":"
"2002M04","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","8,515"
"2002M04","Estonia","Rejected","Total","Person","0"
"2002M04","Ireland","Rejected","Total","Person",":"
"2002M04","Greece","Rejected","Total","Person",":"
"2002M04","Spain","Rejected","Total","Person","450"
"2002M04","France","Rejected","Total","Person","3,795"
"2002M04","Italy","Rejected","Total","Person",":"
"2002M04","Cyprus","Rejected","Total","Person",":"
"2002M04","Latvia","Rejected","Total","Person","0"
"2002M04","Lithuania","Rejected","Total","Person","0"
"2002M04","Luxembourg","Rejected","Total","Person",":"
"2002M04","Hungary","Rejected","Total","Person","215"
"2002M04","Malta","Rejected","Total","Person",":"
"2002M04","Netherlands","Rejected","Total","Person","2,350"
"2002M04","Austria","Rejected","Total","Person","420"
"2002M04","Poland","Rejected","Total","Person","425"
"2002M04","Portugal","Rejected","Total","Person","15"
"2002M04","Romania","Rejected","Total","Person",":"
"2002M04","Slovenia","Rejected","Total","Person","15"
"2002M04","Slovakia","Rejected","Total","Person",":"
"2002M04","Finland","Rejected","Total","Person","200"
"2002M04","Sweden","Rejected","Total","Person","1,390"
"2002M04","United Kingdom","Rejected","Total","Person","4,455"
"2002M04","Norway","Rejected","Total","Person",":"
"2002M05","Belgium","Rejected","Total","Person",":"
"2002M05","Bulgaria","Rejected","Total","Person","80"
"2002M05","Czech Republic","Rejected","Total","Person","400"
"2002M05","Denmark","Rejected","Total","Person",":"
"2002M05","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","6,680"
"2002M05","Estonia","Rejected","Total","Person","5"
"2002M05","Ireland","Rejected","Total","Person",":"
"2002M05","Greece","Rejected","Total","Person",":"
"2002M05","Spain","Rejected","Total","Person","155"
