"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value"
"2008Q1","Belgium","Total","Total","Total","Rejected","Person","2,470"
"2008Q1","Bulgaria","Total","Total","Total","Rejected","Person","90"
"2008Q1","Czech Republic","Total","Total","Total","Rejected","Person","505"
"2008Q1","Denmark","Total","Total","Total","Rejected","Person","75"
"2008Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","3,535"
"2008Q1","Estonia","Total","Total","Total","Rejected","Person","0"
"2008Q1","Ireland","Total","Total","Total","Rejected","Person","785"
"2008Q1","Greece","Total","Total","Total","Rejected","Person","880"
"2008Q1","Spain","Total","Total","Total","Rejected","Person","1,380"
"2008Q1","France","Total","Total","Total","Rejected","Person","6,675"
"2008Q1","Italy","Total","Total","Total","Rejected","Person","1,960"
"2008Q1","Cyprus","Total","Total","Total","Rejected","Person",":"
"2008Q1","Latvia","Total","Total","Total","Rejected","Person","5"
"2008Q1","Lithuania","Total","Total","Total","Rejected","Person","5"
"2008Q1","Luxembourg","Total","Total","Total","Rejected","Person","100"
"2008Q1","Hungary","Total","Total","Total","Rejected","Person","35"
"2008Q1","Malta","Total","Total","Total","Rejected","Person","45"
"2008Q1","Netherlands","Total","Total","Total","Rejected","Person","950"
"2008Q1","Austria","Total","Total","Total","Rejected","Person","2,515"
"2008Q1","Poland","Total","Total","Total","Rejected","Person","850"
"2008Q1","Portugal","Total","Total","Total","Rejected","Person","0"
"2008Q1","Romania","Total","Total","Total","Rejected","Person","50"
"2008Q1","Slovenia","Total","Total","Total","Rejected","Person","60"
"2008Q1","Slovakia","Total","Total","Total","Rejected","Person","95"
"2008Q1","Finland","Total","Total","Total","Rejected","Person","195"
"2008Q1","Sweden","Total","Total","Total","Rejected","Person","4,595"
"2008Q1","United Kingdom","Total","Total","Total","Rejected","Person","3,650"
"2008Q1","Norway","Total","Total","Total","Rejected","Person","970"
"2008Q2","Belgium","Total","Total","Total","Rejected","Person","2,675"
"2008Q2","Bulgaria","Total","Total","Total","Rejected","Person","115"
"2008Q2","Czech Republic","Total","Total","Total","Rejected","Person","315"
"2008Q2","Denmark","Total","Total","Total","Rejected","Person","200"
"2008Q2","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","2,565"
"2008Q2","Estonia","Total","Total","Total","Rejected","Person","5"
"2008Q2","Ireland","Total","Total","Total","Rejected","Person","780"
"2008Q2","Greece","Total","Total","Total","Rejected","Person","7,510"
"2008Q2","Spain","Total","Total","Total","Rejected","Person","860"
"2008Q2","France","Total","Total","Total","Rejected","Person","5,945"
"2008Q2","Italy","Total","Total","Total","Rejected","Person","2,540"
"2008Q2","Cyprus","Total","Total","Total","Rejected","Person",":"
"2008Q2","Latvia","Total","Total","Total","Rejected","Person","0"
"2008Q2","Lithuania","Total","Total","Total","Rejected","Person","10"
"2008Q2","Luxembourg","Total","Total","Total","Rejected","Person","75"
"2008Q2","Hungary","Total","Total","Total","Rejected","Person","130"
"2008Q2","Malta","Total","Total","Total","Rejected","Person","425"
"2008Q2","Netherlands","Total","Total","Total","Rejected","Person","1,680"
"2008Q2","Austria","Total","Total","Total","Rejected","Person","2,190"
"2008Q2","Poland","Total","Total","Total","Rejected","Person","240"
"2008Q2","Portugal","Total","Total","Total","Rejected","Person","15"
"2008Q2","Romania","Total","Total","Total","Rejected","Person","95"
"2008Q2","Slovenia","Total","Total","Total","Rejected","Person","35"
"2008Q2","Slovakia","Total","Total","Total","Rejected","Person","60"
"2008Q2","Finland","Total","Total","Total","Rejected","Person","240"
"2008Q2","Sweden","Total","Total","Total","Rejected","Person","5,175"
"2008Q2","United Kingdom","Total","Total","Total","Rejected","Person","4,320"
"2008Q2","Norway","Total","Total","Total","Rejected","Person","1,375"
"2008Q3","Belgium","Total","Total","Total","Rejected","Person","2,055"
"2008Q3","Bulgaria","Total","Total","Total","Rejected","Person","125"
"2008Q3","Czech Republic","Total","Total","Total","Rejected","Person","200"
"2008Q3","Denmark","Total","Total","Total","Rejected","Person","135"
"2008Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","2,630"
"2008Q3","Estonia","Total","Total","Total","Rejected","Person","0"
"2008Q3","Ireland","Total","Total","Total","Rejected","Person","870"
"2008Q3","Greece","Total","Total","Total","Rejected","Person","9,320"
"2008Q3","Spain","Total","Total","Total","Rejected","Person","1,225"
"2008Q3","France","Total","Total","Total","Rejected","Person","6,680"
"2008Q3","Italy","Total","Total","Total","Rejected","Person","2,570"
"2008Q3","Cyprus","Total","Total","Total","Rejected","Person",":"
"2008Q3","Latvia","Total","Total","Total","Rejected","Person","5"
"2008Q3","Lithuania","Total","Total","Total","Rejected","Person","15"
"2008Q3","Luxembourg","Total","Total","Total","Rejected","Person","55"
"2008Q3","Hungary","Total","Total","Total","Rejected","Person","165"
"2008Q3","Malta","Total","Total","Total","Rejected","Person","490"
"2008Q3","Netherlands","Total","Total","Total","Rejected","Person","1,320"
"2008Q3","Austria","Total","Total","Total","Rejected","Person","1,870"
"2008Q3","Poland","Total","Total","Total","Rejected","Person","120"
"2008Q3","Portugal","Total","Total","Total","Rejected","Person","10"
"2008Q3","Romania","Total","Total","Total","Rejected","Person","155"
"2008Q3","Slovenia","Total","Total","Total","Rejected","Person","25"
"2008Q3","Slovakia","Total","Total","Total","Rejected","Person","70"
"2008Q3","Finland","Total","Total","Total","Rejected","Person","255"
"2008Q3","Sweden","Total","Total","Total","Rejected","Person","4,845"
"2008Q3","United Kingdom","Total","Total","Total","Rejected","Person","4,775"
"2008Q3","Norway","Total","Total","Total","Rejected","Person","1,530"
"2008Q4","Belgium","Total","Total","Total","Rejected","Person","2,915"
"2008Q4","Bulgaria","Total","Total","Total","Rejected","Person","45"
"2008Q4","Czech Republic","Total","Total","Total","Rejected","Person","160"
"2008Q4","Denmark","Total","Total","Total","Rejected","Person","115"
"2008Q4","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","2,735"
"2008Q4","Estonia","Total","Total","Total","Rejected","Person","0"
"2008Q4","Ireland","Total","Total","Total","Rejected","Person","890"
"2008Q4","Greece","Total","Total","Total","Rejected","Person","11,815"
"2008Q4","Spain","Total","Total","Total","Rejected","Person","1,385"
"2008Q4","France","Total","Total","Total","Rejected","Person","7,310"
"2008Q4","Italy","Total","Total","Total","Rejected","Person","3,420"
"2008Q4","Cyprus","Total","Total","Total","Rejected","Person",":"
"2008Q4","Latvia","Total","Total","Total","Rejected","Person","0"
"2008Q4","Lithuania","Total","Total","Total","Rejected","Person","10"
"2008Q4","Luxembourg","Total","Total","Total","Rejected","Person","70"
"2008Q4","Hungary","Total","Total","Total","Rejected","Person","180"
"2008Q4","Malta","Total","Total","Total","Rejected","Person","315"
"2008Q4","Netherlands","Total","Total","Total","Rejected","Person","1,295"
"2008Q4","Austria","Total","Total","Total","Rejected","Person","2,670"
"2008Q4","Poland","Total","Total","Total","Rejected","Person","265"
"2008Q4","Portugal","Total","Total","Total","Rejected","Person","15"
"2008Q4","Romania","Total","Total","Total","Rejected","Person","265"
"2008Q4","Slovenia","Total","Total","Total","Rejected","Person","35"
"2008Q4","Slovakia","Total","Total","Total","Rejected","Person","55"
"2008Q4","Finland","Total","Total","Total","Rejected","Person","330"
"2008Q4","Sweden","Total","Total","Total","Rejected","Person","7,080"
"2008Q4","United Kingdom","Total","Total","Total","Rejected","Person","3,965"
"2008Q4","Norway","Total","Total","Total","Rejected","Person","2,090"
"2009Q1","Belgium","Total","Total","Total","Rejected","Person","2,760"
"2009Q1","Bulgaria","Total","Total","Total","Rejected","Person","65"
"2009Q1","Czech Republic","Total","Total","Total","Rejected","Person","140"
"2009Q1","Denmark","Total","Total","Total","Rejected","Person","80"
"2009Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","3,880"
"2009Q1","Estonia","Total","Total","Total","Rejected","Person","5"
"2009Q1","Ireland","Total","Total","Total","Rejected","Person","865"
"2009Q1","Greece","Total","Total","Total","Rejected","Person","4,100"
"2009Q1","Spain","Total","Total","Total","Rejected","Person","1,250"
"2009Q1","France","Total","Total","Total","Rejected","Person","7,265"
"2009Q1","Italy","Total","Total","Total","Rejected","Person","4,625"
"2009Q1","Cyprus","Total","Total","Total","Rejected","Person","680"
"2009Q1","Latvia","Total","Total","Total","Rejected","Person","15"
"2009Q1","Lithuania","Total","Total","Total","Rejected","Person","45"
"2009Q1","Luxembourg","Total","Total","Total","Rejected","Person","75"
"2009Q1","Hungary","Total","Total","Total","Rejected","Person","305"
"2009Q1","Malta","Total","Total","Total","Rejected","Person","175"
"2009Q1","Netherlands","Total","Total","Total","Rejected","Person","2,100"
"2009Q1","Austria","Total","Total","Total","Rejected","Person","3,040"
"2009Q1","Poland","Total","Total","Total","Rejected","Person","595"
"2009Q1","Portugal","Total","Total","Total","Rejected","Person","10"
"2009Q1","Romania","Total","Total","Total","Rejected","Person","165"
"2009Q1","Slovenia","Total","Total","Total","Rejected","Person","45"
"2009Q1","Slovakia","Total","Total","Total","Rejected","Person","10"
"2009Q1","Finland","Total","Total","Total","Rejected","Person","365"
"2009Q1","Sweden","Total","Total","Total","Rejected","Person","4,435"
"2009Q1","United Kingdom","Total","Total","Total","Rejected","Person","3,725"
"2009Q1","Norway","Total","Total","Total","Rejected","Person","1,780"
"2009Q2","Belgium","Total","Total","Total","Rejected","Person","2,995"
"2009Q2","Bulgaria","Total","Total","Total","Rejected","Person","90"
"2009Q2","Czech Republic","Total","Total","Total","Rejected","Person","110"
"2009Q2","Denmark","Total","Total","Total","Rejected","Person","100"
"2009Q2","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","4,120"
"2009Q2","Estonia","Total","Total","Total","Rejected","Person","0"
"2009Q2","Ireland","Total","Total","Total","Rejected","Person","755"
"2009Q2","Greece","Total","Total","Total","Rejected","Person","5,210"
"2009Q2","Spain","Total","Total","Total","Rejected","Person","1,060"
"2009Q2","France","Total","Total","Total","Rejected","Person","7,195"
"2009Q2","Italy","Total","Total","Total","Rejected","Person","4,670"
"2009Q2","Cyprus","Total","Total","Total","Rejected","Person","1,010"
"2009Q2","Latvia","Total","Total","Total","Rejected","Person","0"
"2009Q2","Lithuania","Total","Total","Total","Rejected","Person","30"
"2009Q2","Luxembourg","Total","Total","Total","Rejected","Person","70"
"2009Q2","Hungary","Total","Total","Total","Rejected","Person","475"
"2009Q2","Malta","Total","Total","Total","Rejected","Person","315"
"2009Q2","Netherlands","Total","Total","Total","Rejected","Person","2,125"
"2009Q2","Austria","Total","Total","Total","Rejected","Person","2,785"
"2009Q2","Poland","Total","Total","Total","Rejected","Person","715"
"2009Q2","Portugal","Total","Total","Total","Rejected","Person","20"
"2009Q2","Romania","Total","Total","Total","Rejected","Person","75"
"2009Q2","Slovenia","Total","Total","Total","Rejected","Person","30"
"2009Q2","Slovakia","Total","Total","Total","Rejected","Person","40"
"2009Q2","Finland","Total","Total","Total","Rejected","Person","565"
"2009Q2","Sweden","Total","Total","Total","Rejected","Person","3,815"
"2009Q2","United Kingdom","Total","Total","Total","Rejected","Person","5,175"
"2009Q2","Norway","Total","Total","Total","Rejected","Person","1,760"
"2009Q3","Belgium","Total","Total","Total","Rejected","Person","3,185"
"2009Q3","Bulgaria","Total","Total","Total","Rejected","Person","135"
"2009Q3","Czech Republic","Total","Total","Total","Rejected","Person","100"
"2009Q3","Denmark","Total","Total","Total","Rejected","Person","210"
"2009Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","4,685"
"2009Q3","Estonia","Total","Total","Total","Rejected","Person","5"
"2009Q3","Ireland","Total","Total","Total","Rejected","Person","745"
"2009Q3","Greece","Total","Total","Total","Rejected","Person","3,090"
"2009Q3","Spain","Total","Total","Total","Rejected","Person","970"
"2009Q3","France","Total","Total","Total","Rejected","Person","7,480"
"2009Q3","Italy","Total","Total","Total","Rejected","Person","2,405"
"2009Q3","Cyprus","Total","Total","Total","Rejected","Person","660"
"2009Q3","Latvia","Total","Total","Total","Rejected","Person","10"
"2009Q3","Lithuania","Total","Total","Total","Rejected","Person","15"
"2009Q3","Luxembourg","Total","Total","Total","Rejected","Person","115"
"2009Q3","Hungary","Total","Total","Total","Rejected","Person","350"
"2009Q3","Malta","Total","Total","Total","Rejected","Person","255"
"2009Q3","Netherlands","Total","Total","Total","Rejected","Person","2,305"
"2009Q3","Austria","Total","Total","Total","Rejected","Person","2,805"
"2009Q3","Poland","Total","Total","Total","Rejected","Person","1,320"
"2009Q3","Portugal","Total","Total","Total","Rejected","Person","10"
"2009Q3","Romania","Total","Total","Total","Rejected","Person","90"
"2009Q3","Slovenia","Total","Total","Total","Rejected","Person","30"
"2009Q3","Slovakia","Total","Total","Total","Rejected","Person","50"
"2009Q3","Finland","Total","Total","Total","Rejected","Person","330"
"2009Q3","Sweden","Total","Total","Total","Rejected","Person","3,625"
"2009Q3","United Kingdom","Total","Total","Total","Rejected","Person","7,470"
"2009Q3","Norway","Total","Total","Total","Rejected","Person","3,075"
"2009Q4","Belgium","Total","Total","Total","Rejected","Person","3,460"
"2009Q4","Bulgaria","Total","Total","Total","Rejected","Person","85"
"2009Q4","Czech Republic","Total","Total","Total","Rejected","Person","85"
"2009Q4","Denmark","Total","Total","Total","Rejected","Person","495"
"2009Q4","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","4,410"
"2009Q4","Estonia","Total","Total","Total","Rejected","Person","5"
"2009Q4","Ireland","Total","Total","Total","Rejected","Person","650"
"2009Q4","Greece","Total","Total","Total","Rejected","Person","1,790"
"2009Q4","Spain","Total","Total","Total","Rejected","Person","860"
"2009Q4","France","Total","Total","Total","Rejected","Person","8,300"
"2009Q4","Italy","Total","Total","Total","Rejected","Person","2,250"
"2009Q4","Cyprus","Total","Total","Total","Rejected","Person","375"
"2009Q4","Latvia","Total","Total","Total","Rejected","Person","10"
"2009Q4","Lithuania","Total","Total","Total","Rejected","Person","10"
"2009Q4","Luxembourg","Total","Total","Total","Rejected","Person","100"
"2009Q4","Hungary","Total","Total","Total","Rejected","Person","285"
"2009Q4","Malta","Total","Total","Total","Rejected","Person","140"
"2009Q4","Netherlands","Total","Total","Total","Rejected","Person","2,790"
"2009Q4","Austria","Total","Total","Total","Rejected","Person","2,995"
"2009Q4","Poland","Total","Total","Total","Rejected","Person","1,425"
"2009Q4","Portugal","Total","Total","Total","Rejected","Person","5"
"2009Q4","Romania","Total","Total","Total","Rejected","Person","95"
"2009Q4","Slovenia","Total","Total","Total","Rejected","Person","10"
"2009Q4","Slovakia","Total","Total","Total","Rejected","Person","45"
"2009Q4","Finland","Total","Total","Total","Rejected","Person","735"
"2009Q4","Sweden","Total","Total","Total","Rejected","Person","5,015"
"2009Q4","United Kingdom","Total","Total","Total","Rejected","Person","6,340"
"2009Q4","Norway","Total","Total","Total","Rejected","Person","3,635"
"2010Q1","Belgium","Total","Total","Total","Rejected","Person","2,985"
"2010Q1","Bulgaria","Total","Total","Total","Rejected","Person","100"
"2010Q1","Czech Republic","Total","Total","Total","Rejected","Person","95"
"2010Q1","Denmark","Total","Total","Total","Rejected","Person","415"
"2010Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","5,865"
"2010Q1","Estonia","Total","Total","Total","Rejected","Person","15"
"2010Q1","Ireland","Total","Total","Total","Rejected","Person","495"
"2010Q1","Greece","Total","Total","Total","Rejected","Person","965"
"2010Q1","Spain","Total","Total","Total","Rejected","Person","390"
"2010Q1","France","Total","Total","Total","Rejected","Person","7,880"
"2010Q1","Italy","Total","Total","Total","Rejected","Person","1,860"
"2010Q1","Cyprus","Total","Total","Total","Rejected","Person","420"
"2010Q1","Latvia","Total","Total","Total","Rejected","Person","10"
"2010Q1","Lithuania","Total","Total","Total","Rejected","Person","30"
"2010Q1","Luxembourg","Total","Total","Total","Rejected","Person","130"
"2010Q1","Hungary","Total","Total","Total","Rejected","Person","270"
"2010Q1","Malta","Total","Total","Total","Rejected","Person","75"
"2010Q1","Netherlands","Total","Total","Total","Rejected","Person","2,370"
"2010Q1","Austria","Total","Total","Total","Rejected","Person","2,960"
"2010Q1","Poland","Total","Total","Total","Rejected","Person","1,040"
"2010Q1","Portugal","Total","Total","Total","Rejected","Person","20"
"2010Q1","Romania","Total","Total","Total","Rejected","Person","105"
"2010Q1","Slovenia","Total","Total","Total","Rejected","Person","20"
"2010Q1","Slovakia","Total","Total","Total","Rejected","Person","45"
