"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2008","Belgium","Total","Total","Total","Asylum applicant","Person","15,940"
"2008","Bulgaria","Total","Total","Total","Asylum applicant","Person","745"
"2008","Czech Republic","Total","Total","Total","Asylum applicant","Person","1,650"
"2008","Denmark","Total","Total","Total","Asylum applicant","Person","2,375"
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","26,945"
"2008","Estonia","Total","Total","Total","Asylum applicant","Person","15"
"2008","Ireland","Total","Total","Total","Asylum applicant","Person","3,865"
"2008","Greece","Total","Total","Total","Asylum applicant","Person","19,885"
"2008","Spain","Total","Total","Total","Asylum applicant","Person","4,515"
"2008","France","Total","Total","Total","Asylum applicant","Person","41,845"
"2008","Italy","Total","Total","Total","Asylum applicant","Person","30,145"
"2008","Cyprus","Total","Total","Total","Asylum applicant","Person","3,920"
"2008","Latvia","Total","Total","Total","Asylum applicant","Person","55"
"2008","Lithuania","Total","Total","Total","Asylum applicant","Person","520"
"2008","Luxembourg","Total","Total","Total","Asylum applicant","Person","455"
"2008","Hungary","Total","Total","Total","Asylum applicant","Person","3,175"
"2008","Malta","Total","Total","Total","Asylum applicant","Person","2,605"
"2008","Netherlands","Total","Total","Total","Asylum applicant","Person","15,255"
"2008","Austria","Total","Total","Total","Asylum applicant","Person","12,750"
"2008","Poland","Total","Total","Total","Asylum applicant","Person","8,515"
"2008","Portugal","Total","Total","Total","Asylum applicant","Person","160"
"2008","Romania","Total","Total","Total","Asylum applicant","Person","1,180"
"2008","Slovenia","Total","Total","Total","Asylum applicant","Person","260"
"2008","Slovakia","Total","Total","Total","Asylum applicant","Person","905"
"2008","Finland","Total","Total","Total","Asylum applicant","Person","3,770"
"2008","Sweden","Total","Total","Total","Asylum applicant","Person","24,875"
"2008","United Kingdom","Total","Total","Total","Asylum applicant","Person",":"
"2008","Norway","Total","Total","Total","Asylum applicant","Person","14,430"
"2008","Switzerland","Total","Total","Total","Asylum applicant","Person","16,605"
"2009","Belgium","Total","Total","Total","Asylum applicant","Person","22,955"
"2009","Bulgaria","Total","Total","Total","Asylum applicant","Person","855"
"2009","Czech Republic","Total","Total","Total","Asylum applicant","Person","1,245"
"2009","Denmark","Total","Total","Total","Asylum applicant","Person","3,775"
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","33,035"
"2009","Estonia","Total","Total","Total","Asylum applicant","Person","40"
"2009","Ireland","Total","Total","Total","Asylum applicant","Person","2,690"
"2009","Greece","Total","Total","Total","Asylum applicant","Person","15,925"
"2009","Spain","Total","Total","Total","Asylum applicant","Person","3,005"
"2009","France","Total","Total","Total","Asylum applicant","Person","47,625"
"2009","Italy","Total","Total","Total","Asylum applicant","Person","17,670"
"2009","Cyprus","Total","Total","Total","Asylum applicant","Person","3,200"
"2009","Latvia","Total","Total","Total","Asylum applicant","Person","60"
"2009","Lithuania","Total","Total","Total","Asylum applicant","Person","450"
"2009","Luxembourg","Total","Total","Total","Asylum applicant","Person","485"
"2009","Hungary","Total","Total","Total","Asylum applicant","Person","4,670"
"2009","Malta","Total","Total","Total","Asylum applicant","Person","2,385"
"2009","Netherlands","Total","Total","Total","Asylum applicant","Person","16,140"
"2009","Austria","Total","Total","Total","Asylum applicant","Person","15,815"
"2009","Poland","Total","Total","Total","Asylum applicant","Person","10,595"
"2009","Portugal","Total","Total","Total","Asylum applicant","Person","140"
"2009","Romania","Total","Total","Total","Asylum applicant","Person","965"
"2009","Slovenia","Total","Total","Total","Asylum applicant","Person","200"
"2009","Slovakia","Total","Total","Total","Asylum applicant","Person","820"
"2009","Finland","Total","Total","Total","Asylum applicant","Person","5,700"
"2009","Sweden","Total","Total","Total","Asylum applicant","Person","24,260"
"2009","United Kingdom","Total","Total","Total","Asylum applicant","Person","31,695"
"2009","Norway","Total","Total","Total","Asylum applicant","Person","17,225"
"2009","Switzerland","Total","Total","Total","Asylum applicant","Person","16,005"
"2010","Belgium","Total","Total","Total","Asylum applicant","Person","26,560"
"2010","Bulgaria","Total","Total","Total","Asylum applicant","Person","1,025"
"2010","Czech Republic","Total","Total","Total","Asylum applicant","Person","790"
"2010","Denmark","Total","Total","Total","Asylum applicant","Person","5,100"
"2010","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","48,590"
"2010","Estonia","Total","Total","Total","Asylum applicant","Person","35"
"2010","Ireland","Total","Total","Total","Asylum applicant","Person","1,940"
"2010","Greece","Total","Total","Total","Asylum applicant","Person","10,275"
"2010","Spain","Total","Total","Total","Asylum applicant","Person","2,745"
"2010","France","Total","Total","Total","Asylum applicant","Person","52,725"
"2010","Italy","Total","Total","Total","Asylum applicant","Person","10,050"
"2010","Cyprus","Total","Total","Total","Asylum applicant","Person","2,875"
"2010","Latvia","Total","Total","Total","Asylum applicant","Person","65"
"2010","Lithuania","Total","Total","Total","Asylum applicant","Person","495"
"2010","Luxembourg","Total","Total","Total","Asylum applicant","Person","785"
"2010","Hungary","Total","Total","Total","Asylum applicant","Person","2,105"
"2010","Malta","Total","Total","Total","Asylum applicant","Person","175"
"2010","Netherlands","Total","Total","Total","Asylum applicant","Person","15,100"
"2010","Austria","Total","Total","Total","Asylum applicant","Person","11,060"
"2010","Poland","Total","Total","Total","Asylum applicant","Person","6,540"
"2010","Portugal","Total","Total","Total","Asylum applicant","Person","160"
"2010","Romania","Total","Total","Total","Asylum applicant","Person","885"
"2010","Slovenia","Total","Total","Total","Asylum applicant","Person","245"
"2010","Slovakia","Total","Total","Total","Asylum applicant","Person","540"
"2010","Finland","Total","Total","Total","Asylum applicant","Person","3,675"
"2010","Sweden","Total","Total","Total","Asylum applicant","Person","31,940"
"2010","United Kingdom","Total","Total","Total","Asylum applicant","Person","24,365"
"2010","Norway","Total","Total","Total","Asylum applicant","Person","10,065"
"2010","Switzerland","Total","Total","Total","Asylum applicant","Person","15,565"
"2011","Belgium","Total","Total","Total","Asylum applicant","Person","32,270"
"2011","Bulgaria","Total","Total","Total","Asylum applicant","Person","890"
"2011","Czech Republic","Total","Total","Total","Asylum applicant","Person","755"
"2011","Denmark","Total","Total","Total","Asylum applicant","Person","3,985"
"2011","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","53,345"
"2011","Estonia","Total","Total","Total","Asylum applicant","Person","65"
"2011","Ireland","Total","Total","Total","Asylum applicant","Person","1,290"
"2011","Greece","Total","Total","Total","Asylum applicant","Person","9,310"
"2011","Spain","Total","Total","Total","Asylum applicant","Person","3,420"
"2011","France","Total","Total","Total","Asylum applicant","Person","57,335"
"2011","Italy","Total","Total","Total","Asylum applicant","Person","40,355"
"2011","Cyprus","Total","Total","Total","Asylum applicant","Person","1,770"
"2011","Latvia","Total","Total","Total","Asylum applicant","Person","340"
"2011","Lithuania","Total","Total","Total","Asylum applicant","Person","525"
"2011","Luxembourg","Total","Total","Total","Asylum applicant","Person","2,155"
"2011","Hungary","Total","Total","Total","Asylum applicant","Person","1,695"
"2011","Malta","Total","Total","Total","Asylum applicant","Person","1,890"
"2011","Netherlands","Total","Total","Total","Asylum applicant","Person","14,600"
"2011","Austria","Total","Total","Total","Asylum applicant","Person","14,455"
"2011","Poland","Total","Total","Total","Asylum applicant","Person","6,890"
"2011","Portugal","Total","Total","Total","Asylum applicant","Person","275"
"2011","Romania","Total","Total","Total","Asylum applicant","Person","1,720"
"2011","Slovenia","Total","Total","Total","Asylum applicant","Person","360"
"2011","Slovakia","Total","Total","Total","Asylum applicant","Person","490"
"2011","Finland","Total","Total","Total","Asylum applicant","Person","2,975"
"2011","Sweden","Total","Total","Total","Asylum applicant","Person","29,710"
"2011","United Kingdom","Total","Total","Total","Asylum applicant","Person","26,940"
"2011","Norway","Total","Total","Total","Asylum applicant","Person","9,055"
"2011","Switzerland","Total","Total","Total","Asylum applicant","Person","23,880"
"2012","Belgium","Total","Total","Total","Asylum applicant","Person","28,285"
"2012","Bulgaria","Total","Total","Total","Asylum applicant","Person","1,385"
"2012","Czech Republic","Total","Total","Total","Asylum applicant","Person","755"
"2012","Denmark","Total","Total","Total","Asylum applicant","Person","6,075"
"2012","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","77,650"
"2012","Estonia","Total","Total","Total","Asylum applicant","Person","75"
"2012","Ireland","Total","Total","Total","Asylum applicant","Person","955"
"2012","Greece","Total","Total","Total","Asylum applicant","Person","9,575"
"2012","Spain","Total","Total","Total","Asylum applicant","Person","2,565"
"2012","France","Total","Total","Total","Asylum applicant","Person","61,455"
"2012","Italy","Total","Total","Total","Asylum applicant","Person","17,350"
"2012","Cyprus","Total","Total","Total","Asylum applicant","Person","1,635"
"2012","Latvia","Total","Total","Total","Asylum applicant","Person","205"
"2012","Lithuania","Total","Total","Total","Asylum applicant","Person","645"
"2012","Luxembourg","Total","Total","Total","Asylum applicant","Person","2,055"
"2012","Hungary","Total","Total","Total","Asylum applicant","Person","2,155"
"2012","Malta","Total","Total","Total","Asylum applicant","Person","2,080"
"2012","Netherlands","Total","Total","Total","Asylum applicant","Person","13,100"
