"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2008","Belgium","Total","Total","Total","First time applicant","Person","11,395"
"2008","Bulgaria","Total","Total","Total","First time applicant","Person",":"
"2008","Czech Republic","Total","Total","Total","First time applicant","Person","1,050"
"2008","Denmark","Total","Total","Total","First time applicant","Person","2,375"
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","21,365"
"2008","Estonia","Total","Total","Total","First time applicant","Person","15"
"2008","Ireland","Total","Total","Total","First time applicant","Person","3,805"
"2008","Greece","Total","Total","Total","First time applicant","Person",":"
"2008","Spain","Total","Total","Total","First time applicant","Person",":"
"2008","France","Total","Total","Total","First time applicant","Person",":"
"2008","Italy","Total","Total","Total","First time applicant","Person","30,145"
"2008","Cyprus","Total","Total","Total","First time applicant","Person","3,920"
"2008","Latvia","Total","Total","Total","First time applicant","Person","50"
"2008","Lithuania","Total","Total","Total","First time applicant","Person",":"
"2008","Luxembourg","Total","Total","Total","First time applicant","Person",":"
"2008","Hungary","Total","Total","Total","First time applicant","Person",":"
"2008","Malta","Total","Total","Total","First time applicant","Person","2,605"
"2008","Netherlands","Total","Total","Total","First time applicant","Person","13,380"
"2008","Austria","Total","Total","Total","First time applicant","Person",":"
"2008","Poland","Total","Total","Total","First time applicant","Person","7,200"
"2008","Portugal","Total","Total","Total","First time applicant","Person","160"
"2008","Romania","Total","Total","Total","First time applicant","Person",":"
"2008","Slovenia","Total","Total","Total","First time applicant","Person","240"
"2008","Slovakia","Total","Total","Total","First time applicant","Person",":"
"2008","Finland","Total","Total","Total","First time applicant","Person",":"
"2008","Sweden","Total","Total","Total","First time applicant","Person","24,365"
"2008","United Kingdom","Total","Total","Total","First time applicant","Person","31,315"
"2008","Norway","Total","Total","Total","First time applicant","Person","14,080"
"2008","Switzerland","Total","Total","Total","First time applicant","Person","15,180"
"2009","Belgium","Total","Total","Total","First time applicant","Person","17,215"
"2009","Bulgaria","Total","Total","Total","First time applicant","Person",":"
"2009","Czech Republic","Total","Total","Total","First time applicant","Person","630"
