Country Name,"Country Code","Series Name","Series Code","Time","Time Code","Value"
Kosovo,"KSV","Population, total","SP.POP.TOTL","2000","YR2000","1700000"
Kosovo,"KSV","Population, total","SP.POP.TOTL","2001","YR2001","1701154"
Kosovo,"KSV","Population, total","SP.POP.TOTL","2002","YR2002","1702310"
Kosovo,"KSV","Population, total","SP.POP.TOTL","2003","YR2003","1703466"
Kosovo,"KSV","Population, total","SP.POP.TOTL","2004","YR2004","1704622"
Kosovo,"KSV","Population, total","SP.POP.TOTL","2005","YR2005","1705780"
Kosovo,"KSV","Population, total","SP.POP.TOTL","2006","YR2006","1719536"
Kosovo,"KSV","Population, total","SP.POP.TOTL","2007","YR2007","1733404"
Kosovo,"KSV","Population, total","SP.POP.TOTL","2008","YR2008","1747383"
Kosovo,"KSV","Population, total","SP.POP.TOTL","2009","YR2009","1761474"
Kosovo,"KSV","Population, total","SP.POP.TOTL","2010","YR2010","1775680"
Kosovo,"KSV","Population, total","SP.POP.TOTL","2011","YR2011","1790957"
Kosovo,"KSV","Population, total","SP.POP.TOTL","2012","YR2012","1805200"
Kosovo,"KSV","Population, total","SP.POP.TOTL","2013","YR2013","1818117"
Kosovo,"KSV","Population, total","SP.POP.TOTL","2014","YR2014","1812771"
Kosovo,"KSV","Population, total","SP.POP.TOTL","2015","YR2015","1797151"
Kosovo,"KSV","Population, total","SP.POP.TOTL","2016","YR2016",""
Kosovo,"KSV","Population growth (annual %)","SP.POP.GROW","2000","YR2000","-3.58212764518173"
Kosovo,"KSV","Population growth (annual %)","SP.POP.GROW","2001","YR2001","0.0678593232934242"
Kosovo,"KSV","Population growth (annual %)","SP.POP.GROW","2002","YR2002","0.0679307931245331"
Kosovo,"KSV","Population growth (annual %)","SP.POP.GROW","2003","YR2003","0.0678846785222277"
Kosovo,"KSV","Population growth (annual %)","SP.POP.GROW","2004","YR2004","0.0678386264869726"
Kosovo,"KSV","Population growth (annual %)","SP.POP.GROW","2005","YR2005","0.0679098853744036"
Kosovo,"KSV","Population growth (annual %)","SP.POP.GROW","2006","YR2006","0.803200285953362"
Kosovo,"KSV","Population growth (annual %)","SP.POP.GROW","2007","YR2007","0.803261832927916"
Kosovo,"KSV","Population growth (annual %)","SP.POP.GROW","2008","YR2008","0.803213477569189"
Kosovo,"KSV","Population growth (annual %)","SP.POP.GROW","2009","YR2009","0.803171844793122"
Kosovo,"KSV","Population growth (annual %)","SP.POP.GROW","2010","YR2010","0.803248961277754"
Kosovo,"KSV","Population growth (annual %)","SP.POP.GROW","2011","YR2011","0.856666570139979"
Kosovo,"KSV","Population growth (annual %)","SP.POP.GROW","2012","YR2012","0.79212751139101"
Kosovo,"KSV","Population growth (annual %)","SP.POP.GROW","2013","YR2013","0.712996114943488"
Kosovo,"KSV","Population growth (annual %)","SP.POP.GROW","2014","YR2014","-0.294473630866066"
Kosovo,"KSV","Population growth (annual %)","SP.POP.GROW","2015","YR2015","-0.865398060317733"
Kosovo,"KSV","Population growth (annual %)","SP.POP.GROW","2016","YR2016",""
Kosovo,"KSV","Surface area (sq. km)","AG.SRF.TOTL.K2","2000","YR2000","10887"
Kosovo,"KSV","Surface area (sq. km)","AG.SRF.TOTL.K2","2001","YR2001","10887"
Kosovo,"KSV","Surface area (sq. km)","AG.SRF.TOTL.K2","2002","YR2002","10887"
Kosovo,"KSV","Surface area (sq. km)","AG.SRF.TOTL.K2","2003","YR2003","10887"
Kosovo,"KSV","Surface area (sq. km)","AG.SRF.TOTL.K2","2004","YR2004","10887"
Kosovo,"KSV","Surface area (sq. km)","AG.SRF.TOTL.K2","2005","YR2005","10887"
Kosovo,"KSV","Surface area (sq. km)","AG.SRF.TOTL.K2","2006","YR2006","10887"
Kosovo,"KSV","Surface area (sq. km)","AG.SRF.TOTL.K2","2007","YR2007","10887"
Kosovo,"KSV","Surface area (sq. km)","AG.SRF.TOTL.K2","2008","YR2008","10887"
Kosovo,"KSV","Surface area (sq. km)","AG.SRF.TOTL.K2","2009","YR2009","10887"
Kosovo,"KSV","Surface area (sq. km)","AG.SRF.TOTL.K2","2010","YR2010","10887"
Kosovo,"KSV","Surface area (sq. km)","AG.SRF.TOTL.K2","2011","YR2011","10887"
Kosovo,"KSV","Surface area (sq. km)","AG.SRF.TOTL.K2","2012","YR2012","10887"
Kosovo,"KSV","Surface area (sq. km)","AG.SRF.TOTL.K2","2013","YR2013","10887"
Kosovo,"KSV","Surface area (sq. km)","AG.SRF.TOTL.K2","2014","YR2014","10887"
Kosovo,"KSV","Surface area (sq. km)","AG.SRF.TOTL.K2","2015","YR2015","10887"
